,oid,lat_dest,long_dest,flow,hour
0,124,24.855,46.72,1,17:00
1,163,24.848,46.724,1,17:00
2,272,24.854,46.719,1,17:00
3,883,24.853,46.72,1,17:00
4,946,24.855,46.72,1,17:00
5,970,24.848,46.724,1,17:00
6,1025,24.854,46.719,1,17:00
7,1027,24.848,46.724,1,17:00
8,1134,24.849,46.722,1,17:00
9,1148,24.848,46.724,1,17:00
10,1214,24.848,46.724,1,17:00
11,1218,24.848,46.724,1,17:00
12,1346,24.854,46.719,1,17:00
13,1347,24.854,46.719,1,17:00
14,1439,24.855,46.72,1,17:00
15,1477,24.854,46.719,1,17:00
16,1492,24.854,46.719,1,17:00
17,1509,24.848,46.724,1,17:00
18,1539,24.854,46.719,1,17:00
19,1548,24.848,46.724,1,17:00
20,1551,24.855,46.72,1,17:00
21,1554,24.855,46.72,1,17:00
22,1556,24.855,46.72,1,17:00
23,1579,24.849,46.722,1,17:00
24,1579,24.855,46.72,1,17:00
25,1583,24.848,46.724,1,17:00
26,1605,24.855,46.72,1,17:00
27,1611,24.855,46.72,1,17:00
28,1619,24.848,46.724,2,17:00
29,1619,24.852,46.719,1,17:00
30,1619,24.854,46.719,1,17:00
31,1619,24.855,46.72,5,17:00
32,1625,24.855,46.72,1,17:00
33,1627,24.855,46.72,1,17:00
34,1640,24.855,46.72,1,17:00
35,1682,24.848,46.724,1,17:00
36,1692,24.848,46.724,1,17:00
37,1693,24.855,46.72,1,17:00
38,1705,24.848,46.724,1,17:00
39,1711,24.854,46.719,1,17:00
